curso,ENGENHARIA DE PRODUÇÃO ,EP,2019,True
CAX-ADF001,ADMINISTRAÇÃO FINANCEIRA - 66h,,,
CAX-ALG001,ÁLGEBRA LINEAR - 66h,,,
CAX-ALP001,ALGORITMOS E PROGRAMAÇÃO - 66h,,,
CAX-ANP001,ANÁLISE DE PROCESSOS - 66h,,,
CAX-APF001,AUTOMAÇÃO DE PROCESSOS DE FABRICAÇÃO INDUSTRIAL - 66h,,,
CAX-CAL001,CÁLCULO DIFERENCIAL E INTEGRAL I - 66h,,,
CAX-CAL002,CÁLCULO DIFERENCIAL E INTEGRAL II - 66h,,,
CAX-CAL003,CÁLCULO DIFERENCIAL E INTEGRAL III - 66h,,,
CAX-CEN001,CENÁRIOS ECONÔMICOS E O MUNDO DOS NEGÓCIOS - 33h,,,
CAX-CSI001,CONFIABILIDADE DE SISTEMAS - 66h,,,
CAX-CTM001,CIÊNCIA E TECNOLOGIA DOS MATERIAIS - 66h,,,
CAX-DPP001,DESENVOLVIMENTO E PLANEJAMENTO DE PRODUTO - 66h,,,
CAX-DTE001,DESENHO TÉCNICO I - 33h,,,
CAX-DTE002,DESENHO TÉCNICO II - 66h,,,
CAX-ECO001,ESTÁGIO CURRICULAR OBRIGATÓRIO - 200h,,,
CAX-EEI001,EMPREENDEDORISMO E INOVAÇÃO II - 33h,,,
CAX-EEI002,EMPREENDEDORISMO E INOVAÇÃO I - 33h,,,
CAX-EPS001,ÉTICA E PRÁTICAS SOCIAIS - 33h,,,
CAX-EQU001,EQUAÇÕES DIFERENCIAIS I - 66h,,,
CAX-ESI001,ESPANHOL INSTRUMENTAL - 33h,,,
CAX-EST001,ERGONOMIA E SEGURANÇA NO TRABALHO - 66h,,,
CAX-ETI001,ELETRICIDADE INDUSTRIAL - 33h,,,
CAX-FET001,FENÔMENOS DE TRANSPORTE - 66h,,,
CAX-FIS002,FÍSICA II - 66h,,,
CAX-FIS003,FÍSICA III - 66h,,,
CAX-FIS011,FISICA I - 66h,,,
CAX-FUA001,FUNDAMENTOS DE ADMINISTRAÇÃO - 66h,,,
CAX-GCC001,GESTÃO DO CONHECIMENTO E COMPETÊNCIAS - 33h,,,
CAX-GCL001,GESTÃO DA CADEIA DE SUPRIMENTOS E LOGÍSTICA - 66h,,,
CAX-GDC001,GESTÃO DE CUSTOS - 66h,,,
CAX-GDP001,GESTÃO DE PROJETOS - 66h,,,
CAX-GEA001,GESTÃO AMBIENTAL - 33h,,,
CAX-GES001,GESTÃO E PLANEJAMENTO ESTRATÉGICO - 33h,,,
CAX-GPE001,GESTÃO DE PESSOAS I - 66h,,,
CAX-GQU001,GESTÃO DA QUALIDADE - 66h,,,
CAX-IAM001,INTRODUÇÃO AO MARKETING - 66h,,,
CAX-IEP001,INTRODUÇÃO À ENGENHARIA DA PRODUÇÃO - 66h,,,
CAX-INF001,INFORMÁTICA APLICADA I - 66h,,,
CAX-INF002,INFORMÁTICA APLICADA II - 66h,,,
CAX-ING001,INGLÊS INSTRUMENTAL - 66h,,,
CAX-LBS001,LIBRAS - 33h,,,
CAX-LPA001,LEITURA E PRODUÇÃO DE TEXTOS ACADÊMICOS - 66h,,,
CAX-MDP001,METODOLOGIA DA PESQUISA - 33h,,,
CAX-MES001,MECÂNICA DOS SÓLIDOS - 66h,,,
CAX-MET001,METROLOGIA - 66h,,,
CAX-MMA001,MOLDES E MATRIZES - 66h,,,
CAX-MME001,MATERIAIS MECÂNICOS - 66h,,,
CAX-PCP001,"PLANEJAMENTO, PROGRAMAÇÃO E CONTROLE DA PRODUÇÃO - 66h",,,
CAX-PDF001,PROCESSOS DE FABRICAÇÃO I - 66h,,,
CAX-PDF002,PROCESSOS DE FABRICAÇÃO II - 66h,,,
CAX-PDF003,PROCESSOS DE FABRICAÇÃO III - 66h,,,
CAX-PDF004,PROCESSOS DE FABRICAÇÃO IV - 66h,,,
CAX-PDF005,PROCESSOS DE FABRICAÇÃO V - 66h,,,
CAX-PEE001,PROBABILIDADE E ESTATÍSTICA - 66h,,,
CAX-PEM001,PESQUISA DE MARKETING - 33h,,,
CAX-POP001,PESQUISA OPERACIONAL - 66h,,,
CAX-QUI001,QUÍMICA GERAL - 66h,,,
CAX-SAP001,SISTEMAS AVANÇADOS DE PRODUÇÃO - 66h,,,
CAX-SDP001,SISTEMAS DE PRODUÇÃO - 66h,,,
CAX-SHP001,SISTEMAS HIDRÁULICOS E PNEUMÁTICOS - 66h,,,
CAX-SIE001,SIMULAÇÃO EMPRESARIAL - 33h,,,
CAX-TCA001,TÉCNICAS CAM - 66h,,,
